Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageAct	StdAct	MaxAct	MinAct	AverageRetBuf	StdRetBuf	MaxRetBuf	MinRetBuf	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	FPS
0	0.3204681	0.18743463	0.6564499	0.0	3.9411764	12.15	8.889741	33.0	1.0	0.26490775	0.20694903	0.6564499	0.0	0.07779084	0.017230129	0.10772832	0.026170373	100	-0.01606302	0.038765468	-0.0032193204	-0.0010288418	1.6063031	-0.0001324034	0.0	4.0	0.4085121154785156	244
1	0.30222568	0.23560143	0.65772617	0.0	6.0	14.733334	9.2120695	37.0	1.0	0.27393436	0.23108917	0.65772617	0.0	0.08791085	0.017331839	0.1237522	0.038019992	200	-0.016065627	0.044132553	-0.0015650168	-0.0010947228	1.60657	0.0005238486	0.0	4.0	0.7620594501495361	286
2	0.35310113	0.20737827	0.7741573	0.0	6.5	18.4375	12.854808	36.0	1.0	0.3165749	0.21999685	0.7741573	0.0	0.09230372	0.015133748	0.12529695	0.058553845	300	-0.01606737	0.049903117	-0.0013746163	-0.0013819956	1.6067356	-9.9339464e-05	0.0	4.0	1.093440294265747	303
3	0.2622333	0.20643696	0.65081954	2.220446e-16	3.6470587	23.380953	9.448992	37.0	3.0	0.29240745	0.21451496	0.65081954	2.220446e-16	0.10067405	0.01471319	0.1298857	0.06620039	400	-0.016066663	0.04215923	-0.0011794493	-0.0011730883	1.6066643	7.299902e-05	0.0	4.0	1.5036404132843018	244
4	0.25562167	0.18446267	0.5602357	0.0	4.625	13.842105	9.5546255	37.0	0.0	0.22922495	0.18342143	0.5602357	0.0	0.10543444	0.014111229	0.13283896	0.07403295	500	-0.016065957	0.023599142	-0.0010463819	-0.0006579249	1.6065974	0.00012567997	0.0	4.0	2.00301194190979	202
5	0.30179954	0.19351384	0.5557449	-0.05230519	5.428571	18.61111	8.007905	36.0	3.0	0.3293819	0.17557612	0.5557449	-0.05230519	0.114487365	0.013562577	0.1491076	0.08273079	600	-0.016066007	0.038152717	-0.0009162142	-0.001297781	1.6065952	0.00025730132	0.0	4.0	2.4468038082122803	228
6	0.28665677	0.24728507	0.6575348	-0.084310874	3.6842105	22.681818	10.997464	37.0	0.0	0.32034078	0.24180916	0.6575348	-0.084310874	0.120525934	0.013741078	0.15216959	0.08817276	700	-0.016065776	0.049337164	-0.001342277	-0.0012021223	1.6065748	0.00038864138	0.0	4.0	2.799994945526123	285
7	0.11933793	0.12850818	0.3730505	-0.00072574464	3.6666667	18.40909	11.113707	36.0	0.0	0.17300203	0.12525448	0.3730505	-0.00072574464	0.12908287	0.012558525	0.15422913	0.089101695	800	-0.016065806	0.008811789	-0.0014882237	-0.00025225937	1.6065831	0.0005129957	0.0	4.0	3.165712594985962	274
8	0.19012722	0.1759034	0.4489021	-0.033901967	4.6666665	18.789474	8.48267	36.0	8.0	0.21124946	0.1710316	0.4489021	-0.033901967	0.13750108	0.016040068	0.1722853	0.10231223	900	-0.016066626	0.016158879	-0.0015224591	-0.00033720373	1.6066663	-0.00047551157	0.0	4.0	3.5214552879333496	282
9	0.22237855	0.152302	0.58938235	0.0	4.5625	17.68421	10.533419	36.0	0.0	0.20523417	0.15320563	0.58938235	0.0	0.14167075	0.018171439	0.1827113	0.09996103	1000	-0.016066864	0.01298425	-0.0011639334	-0.00021518138	1.6066813	4.9438477e-05	0.0	4.0	3.8662970066070557	291
