Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageAct	StdAct	MaxAct	MinAct	AverageRetBuf	StdRetBuf	MaxRetBuf	MinRetBuf	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	FPS
0	0.03220578	0.13572386	0.45070022	-0.19021274	5.111111	18.666666	11.3655	34.0	0.0	0.019165277	0.11639873	0.45070022	-0.19021274	-0.059972014	0.015346109	-0.011077622	-0.09107886	100	-0.02816166	0.00989394	-0.002514694	-0.0003949681	2.8161685	0.0002918816	0.0	4.0	0.2521646022796631	396
1	0.07751196	0.15659225	0.54016227	0.0	5.3125	16.3	9.43981	37.0	0.0	0.060021065	0.14864075	0.54016227	-0.07540916	-0.053046893	0.013564606	-0.016159687	-0.08902408	200	-0.028166287	0.017916078	-0.0018008761	-0.0005805784	2.8166323	3.0021678e-05	0.0	4.0	0.4845144748687744	434
2	0.086934924	0.18513437	0.61627716	0.0	5.0	19.190475	12.085485	37.0	2.0	0.03882874	0.14211364	0.61627716	-0.08652195	-0.047839403	0.012956589	-0.0067700236	-0.07931279	300	-0.028160721	0.013780385	-0.0018300265	-0.0004178168	2.816073	3.3102035e-05	0.0	4.0	0.7396368980407715	395
3	0.07677646	0.16807629	0.65278864	0.0	4.9375	17.3	10.738249	35.0	1.0	0.05677456	0.16464852	0.65278864	-0.05190688	-0.04268837	0.0121278055	-0.009717187	-0.066639595	400	-0.028167255	0.018504735	-0.0016825087	-0.00050724327	2.8167214	-0.0001321125	0.0	4.0	1.0186247825622559	360
4	0.122603245	0.2326589	0.63777924	0.0	4.888889	18.454546	12.006541	37.0	0.0	0.09017982	0.2129572	0.63777924	-0.042301454	-0.03735155	0.012287132	-0.010245366	-0.06612515	500	-0.028154403	0.030467082	-0.001588298	-0.0006496738	2.815438	-6.834506e-05	0.0	4.0	1.2759501934051514	391
5	0.038210493	0.1411272	0.6186593	0.0	4.888889	18.714285	10.198706	36.0	0.0	0.020119047	0.10562227	0.6186593	-0.03258392	-0.029566715	0.01468072	0.00074199773	-0.05916521	600	-0.0281597	0.0068923044	-0.0010288879	-0.00021138176	2.8159714	-0.00012531757	0.0	4.0	1.5528068542480469	363
6	0.03104054	0.12705998	0.5699382	0.0	4.4736843	21.652174	10.821111	36.0	0.0	0.017264046	0.097311445	0.5699382	-0.019246858	-0.021675853	0.015327954	0.022940645	-0.053838946	700	-0.028147787	0.005806811	-0.0007888004	-0.0001301616	2.81478	9.601592e-05	0.0	4.0	1.8356878757476807	358
7	0.057895295	0.12869397	0.4137399	0.0	5.1764708	19.714285	11.195845	37.0	0.0	0.035664156	0.105910644	0.4137399	-0.0419773	-0.019823277	0.01697869	0.030237185	-0.05842952	800	-0.028159365	0.007107179	-0.001317774	-0.00017419232	2.8159373	6.4535125e-05	0.0	4.0	2.10331130027771	379
8	0.011515215	0.02421242	0.07723118	0.0	4.882353	22.047619	11.672009	36.0	2.0	0.005326577	0.023176977	0.07723118	-0.026835803	-0.013004401	0.01571555	0.02962609	-0.041673284	900	-0.02815929	0.00056778395	-0.0012650602	-4.4011762e-05	2.8159184	1.504421e-05	0.0	4.0	2.361586332321167	390
9	0.04057554	0.10226656	0.3252284	0.0	5.625	18.25	11.264435	37.0	1.0	0.03276787	0.09283644	0.3252284	-0.0105153825	-0.009940138	0.014912653	0.035062138	-0.030835757	1000	-0.028164838	0.0056597656	-0.0011591613	-0.00010640666	2.8164837	0.00022397995	0.0	4.0	2.639908790588379	362
10	0.04493419	0.120059684	0.4359735	0.0	5.4375	23.15	10.086005	37.0	2.0	0.028650166	0.09626295	0.4359735	-0.025134563	-0.006512389	0.016714687	0.041290063	-0.03094808	1100	-0.028164536	0.0055096163	-0.0013618581	-8.430415e-05	2.8164473	0.00032615184	0.0	4.0	2.937673807144165	339
11	0.011214528	0.024431596	0.083215155	0.0	4.8333335	15.857142	11.646728	37.0	2.0	0.0058099106	0.018241324	0.083215155	-0.01783279	-0.004262197	0.017704783	0.044737577	-0.030340202	1200	-0.028157815	0.00040141304	-0.0013410188	-1.5521167e-05	2.815779	6.762028e-05	0.0	4.0	3.1863884925842285	405
12	0.016701456	0.05592243	0.23231477	0.0	5.25	22.15	10.292109	37.0	2.0	0.009966805	0.045683626	0.23231477	-0.010261689	-0.0017087674	0.01790528	0.04125707	-0.0353086	1300	-0.028163262	0.0012005635	-0.00091610476	-1.3823235e-05	2.8163264	0.00021927834	0.0	4.0	3.4376866817474365	401
