Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageAct	StdAct	MaxAct	MinAct	AverageRetBuf	StdRetBuf	MaxRetBuf	MinRetBuf	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	FPS
0	0.06657914	0.1185218	0.3991144	0.0	4.7777777	15.428572	9.931055	33.0	0.0	0.048579033	0.09512319	0.3991144	0.0	0.06682692	0.014824358	0.09982218	0.02651076	100	-0.028159834	0.004720749	-0.0022843056	-9.45802e-05	2.8159852	0.00020200253	0.0	4.0	0.321613073348999	310
1	0.08902535	0.16193439	0.5033235	-0.022783477	4.7777777	15.409091	11.324387	35.0	0.0	0.057977404	0.13696219	0.5033235	-0.022783477	0.06294006	0.01652774	0.107880965	0.011445582	200	-0.028154023	0.009287062	-0.0014864244	-2.9180344e-05	2.815401	0.00019272804	0.0	4.0	0.5881259441375732	378
2	0.08189917	0.17069426	0.5296034	0.0	4.3333335	17.681818	9.992663	37.0	0.0	0.08131175	0.16660479	0.5296034	0.0	0.054228183	0.016469773	0.090329625	0.016004264	300	-0.028154228	0.014022534	-0.0011972685	-3.9957435e-05	2.8154259	-1.1806485e-05	0.0	4.0	0.9370179176330566	288
3	0.03572505	0.1376649	0.5688929	0.0	5.1875	19.65	9.976347	37.0	6.0	0.02924819	0.111880265	0.5688929	0.0	0.05421606	0.015053739	0.083384715	0.0073771924	400	-0.028165326	0.006306451	-0.0009214636	-5.073205e-06	2.816535	0.0002502823	0.0	4.0	1.2383801937103271	335
4	0.14808932	0.23112495	0.62684464	0.0	4.736842	14.954545	8.578394	28.0	1.0	0.118933916	0.22709833	0.62684464	0.0	0.054466672	0.01677793	0.1019578	0.016846165	500	-0.028153688	0.028058058	-0.0013731383	-0.0001120425	2.8153691	0.00010997773	0.0	4.0	1.7145185470581055	212
5	0.07565169	0.19418705	0.7731371	0.0	5.3125	17.2	11.914697	37.0	0.0	0.07653141	0.18955277	0.7731371	0.0	0.058931638	0.01686199	0.099615715	0.01836954	600	-0.0281635	0.01917032	-0.00089797564	-6.1898376e-05	2.81635	1.8849376e-05	0.0	4.0	2.1067256927490234	256
6	0.029807907	0.11328345	0.46850717	0.0	5.625	20.8	9.599999	36.0	6.0	0.031474885	0.11101697	0.46850717	0.0	0.062909596	0.015142826	0.11089604	0.025979277	700	-0.028163865	0.006978996	-0.0010330565	1.791399e-05	2.8163848	0.00019416332	0.0	4.0	2.497753858566284	258
7	0.1026991	0.18523541	0.53415066	0.0	4.9411764	14.857142	10.842094	37.0	1.0	0.09147611	0.17319499	0.53415066	0.0	0.06171162	0.017358586	0.10990619	0.010120638	800	-0.028157026	0.014841879	-0.00092173927	-2.8970418e-05	2.8157012	0.00022065162	0.0	4.0	2.8740012645721436	268
8	0.059641097	0.10733527	0.33512023	0.0	4.6666665	16.772728	10.727755	32.0	1.0	0.04576864	0.090642445	0.33512023	0.0	0.06609695	0.015900213	0.110012546	0.02723413	900	-0.028151102	0.004369242	-0.0011797752	3.831985e-06	2.8151126	0.00014733314	0.0	4.0	3.1933603286743164	316
9	0.09039584	0.17773627	0.6298226	0.0	5.352941	18.0	11.1040535	37.0	0.0	0.06907855	0.15529309	0.6298226	0.0	0.06572159	0.015091545	0.10054375	0.028001312	1000	-0.028162174	0.012600493	-0.0011516586	-1.7253944e-05	2.8162155	-9.207724e-06	0.0	4.0	3.4682297706604004	368
10	0.041660964	0.107103564	0.45676002	0.0	4.7058825	23.952381	7.2471747	36.0	8.0	0.035459302	0.0899396	0.45676002	0.0	0.06474915	0.01459793	0.09557141	0.024097722	1100	-0.028154999	0.004492718	-0.0009059794	-4.091946e-05	2.8154972	3.8108832e-05	0.0	4.0	3.7751548290252686	328
11	0.06972736	0.14642069	0.5107881	0.0	5.117647	21.857143	9.721286	35.0	6.0	0.05099645	0.1277508	0.5107881	0.0	0.057254124	0.015662452	0.099697486	0.018247478	1200	-0.02815386	0.0076761814	-0.001143604	-1.890777e-05	2.8153872	1.54972e-05	0.0	4.0	4.0303332805633545	395
12	0.019016724	0.06328647	0.26944745	0.0	5.117647	22.571428	10.692994	37.0	2.0	0.01004163	0.03918947	0.26944745	0.0	0.058731306	0.014260518	0.094163604	0.026065331	1300	-0.028152563	0.0019950056	-0.0009846124	-0.0001465175	2.8152628	0.0003202343	0.0	4.0	4.26852822303772	423
13	0.09234348	0.15119153	0.4666893	0.0	4.6666665	12.809524	12.496166	37.0	0.0	0.08218252	0.13714057	0.4666893	0.0	0.052857924	0.016842544	0.0904146	0.0045798793	1400	-0.02815162	0.010077955	-0.0007358566	5.250689e-05	2.8151627	-0.00022960186	0.0	4.0	4.589864730834961	313
14	0.1156606	0.16556488	0.43171573	0.0	4.6666665	18.238094	10.640913	36.0	1.0	0.09748375	0.15402603	0.43171573	0.0	0.05168118	0.015845442	0.08981532	0.014050297	1500	-0.028149776	0.012734245	-0.0013371296	-6.446484e-05	2.814979	-0.00017180444	0.0	4.0	4.8678879737854	362
15	0.036334764	0.12047768	0.54219484	0.0	4.5789475	18.318182	12.125804	37.0	2.0	0.024730412	0.092923254	0.54219484	0.0	0.0503218	0.015967011	0.08188299	0.012128353	1600	-0.028144684	0.0044578835	-0.00064129476	2.1405052e-05	2.8144689	0.00020710469	0.0	4.0	5.12413763999939	393
16	0.009798117	0.031450324	0.13337335	0.0	4.7058825	18.857143	10.606762	37.0	1.0	0.015722524	0.033686932	0.13337335	0.0	0.0597735	0.01636873	0.093910955	0.01265303	1700	-0.028148994	0.0015000466	-0.0008056974	-7.681514e-05	2.8148966	1.7209059e-05	0.0	4.0	5.387194633483887	383
17	0.09748886	0.17376412	0.47424576	0.0	5.3125	16.6	11.503912	34.0	1.0	0.07938266	0.15671477	0.47424576	0.0	0.054861642	0.015866552	0.096494526	0.0019400194	1800	-0.028153598	0.011980411	-0.0009854697	1.8652325e-05	2.815356	0.00016623497	0.0	4.0	5.644993782043457	390
18	0.14018479	0.18030521	0.5603036	0.0	4.4444447	13.409091	11.715021	37.0	0.0	0.096257724	0.15918148	0.5603036	0.0	0.051973224	0.016376693	0.091772005	0.0028001294	1900	-0.028140098	0.012924589	-0.0014539994	-5.51978e-05	2.8140106	0.00023298265	0.0	4.0	5.984927177429199	295
19	0.030422786	0.10040972	0.42787445	0.0	5.0588236	18.095238	8.980958	33.0	4.0	0.024127819	0.08418837	0.42787445	0.0	0.05382254	0.015899125	0.08745085	0.0011509731	2000	-0.028146625	0.004057603	-0.0009988975	2.1037384e-05	2.814664	7.359982e-05	0.0	4.0	6.212173223495483	443
20	0.054981936	0.114280626	0.40905178	0.0	4.3	15.25	10.993369	36.0	1.0	0.029985206	0.08619961	0.40905178	0.0	0.056668777	0.015701005	0.09215524	0.015524194	2100	-0.028127655	0.0039426656	-0.00105392	-3.755308e-05	2.8127666	7.013322e-05	0.0	4.0	6.606064796447754	255
21	0.06691851	0.14465234	0.5614796	0.0	4.7222223	18.818182	12.506858	36.0	1.0	0.052955434	0.13167085	0.5614796	0.0	0.05059368	0.015532206	0.07981219	0.004586473	2200	-0.02813749	0.008414895	-0.0010218024	-3.49959e-06	2.8137407	-6.508353e-05	0.0	4.0	6.975542783737183	272
22	0.022108434	0.06319416	0.26660258	0.0	5.2352943	18.333334	11.614167	37.0	0.0	0.014901435	0.047055177	0.26660258	0.0	0.052605953	0.014183364	0.09508245	0.014634766	2300	-0.02814141	0.0019576852	-0.0010144822	-8.361737e-05	2.8141418	0.00011070252	0.0	4.0	7.29283332824707	317
23	0.080962375	0.13855556	0.37624267	0.0	4.6875	18.85	11.538089	37.0	3.0	0.056736697	0.11379756	0.37624267	0.0	0.045706302	0.01621356	0.07960731	0.01125887	2400	-0.028145157	0.0063853897	-0.0012816787	1.579475e-05	2.8145146	4.945279e-05	0.0	4.0	7.599917888641357	328
