Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageAct	StdAct	MaxAct	MinAct	AverageRetBuf	StdRetBuf	MaxRetBuf	MinRetBuf	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	FPS
0	0.15204197	0.35145712	0.95652175	-3.3789487	4.48	49.42157	28.659405	99.0	0.0	0.119811065	0.3641366	0.95652175	-3.3789487	-0.016140224	0.017973434	0.03614414	-0.075266674	1000	-0.019123066	0.07583425	-0.0013063571	-0.0008447622	1.9123094	0.00012046432	0.0	4.0	1.711733341217041	584
1	0.06379101	1.3199251	0.9622214	-17.736998	4.0654206	50.0	28.675709	99.0	0.0	0.032853793	1.3398402	0.9622214	-17.736998	-0.0078098713	0.01714544	0.032815255	-0.06523539	2000	-0.01910389	0.89854294	-0.00050067855	-0.00038502272	1.9103888	-8.1310274e-05	0.0	4.0	3.371884822845459	607
2	0.18742369	0.47797447	0.9864527	-4.1352906	4.104265	45.2093	30.338522	99.0	0.0	0.14434081	0.49933186	0.9864527	-4.1352906	-0.001589337	0.015869683	0.042173922	-0.06165375	3000	-0.0191051	0.13523357	-0.000687032	-0.0007257508	1.9105098	-2.2492412e-05	0.0	4.0	5.0334978103637695	607
3	0.0041911826	2.8023112	0.948115	-40.525993	4.15566	50.248825	28.69017	99.0	0.0	-0.087892495	3.151636	0.948115	-40.525993	0.002951979	0.015489653	0.04644665	-0.047950663	4000	-0.019108081	4.967821	-0.00024185516	1.4955178e-05	1.910808	-4.4077875e-05	0.0	4.0	6.697716951370239	606
4	0.17612417	0.2839437	0.9950498	-1.1890664	4.15311	49.868546	30.412989	99.0	0.0	0.14419489	0.28608203	0.9950498	-1.1890664	0.0070203743	0.01496347	0.051396176	-0.045778625	5000	-0.019107543	0.050536305	-0.0007938235	-0.00025992515	1.9107516	3.5868645e-05	0.0	4.0	8.353836059570312	609
5	0.20432872	0.46870303	0.94015354	-5.5672855	3.841629	52.328888	28.466564	99.0	0.0	0.16936971	0.48355126	0.94015354	-5.5672855	0.009717165	0.01638177	0.048819177	-0.051551685	6000	-0.0190886	0.12996961	-0.00055232225	-0.00062239356	1.9088612	-8.3870415e-05	0.0	4.0	10.0981605052948	578
6	0.18685699	0.34503144	0.95951664	-2.025556	4.3446603	50.514423	28.999832	99.0	0.0	0.14258754	0.3293938	0.95951664	-2.025556	0.014304501	0.015236992	0.055277865	-0.033370994	7000	-0.019114181	0.062487848	-0.0009675259	-0.00060027	1.9114196	0.00016255378	0.0	4.0	11.816566467285156	588
7	0.2048261	0.43769246	0.98481196	-3.9838357	4.0751176	50.476852	29.337744	99.0	0.0	0.18115409	0.42532063	0.98481196	-3.9838357	0.022198386	0.014763961	0.074753426	-0.030104034	8000	-0.019100487	0.102942355	-0.0007388815	-0.00086220633	1.910048	4.6343805e-05	0.0	4.0	13.516717910766602	593
8	0.22265096	0.3059501	0.9809702	-1.2589507	4.1893206	50.07619	29.098255	99.0	0.0	0.19473766	0.31230354	0.9809702	-1.2589507	0.029184181	0.015562867	0.07594249	-0.022064194	9000	-0.019109108	0.06295644	-0.0010876511	-0.0009854222	1.9109094	7.565308e-05	0.0	4.0	15.212044954299927	595
9	0.2180421	0.392781	0.98827606	-2.2350242	3.9036698	50.198196	28.306343	98.0	1.0	0.17533918	0.4005816	0.98827606	-2.2350242	0.035845708	0.015420359	0.08980499	-0.013079934	10000	-0.019089703	0.09015879	-0.0008100467	-0.0008131517	1.9089676	-6.0894967e-05	0.0	4.0	16.86954092979431	609
