Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageAct	StdAct	MaxAct	MinAct	AverageRetBuf	StdRetBuf	MaxRetBuf	MinRetBuf	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	FPS
0	0.20922858	0.27456528	0.9965961	0.0	4.257282	49.34762	28.207026	99.0	0.0	0.17973746	0.2747959	0.9965961	-0.049255714	-0.016258907	0.01759754	0.026498012	-0.07552409	1000	-0.017896002	0.056589127	-0.0017522182	-0.0012109755	1.789599	0.00027363014	0.0	4.0	1.9869685173034668	503
1	0.21495332	0.26797536	0.9579992	-0.6396096	3.8206277	50.31111	29.158587	98.0	0.0	0.18888377	0.27481613	0.9579992	-0.6396096	-0.007182173	0.017099265	0.03845222	-0.05865913	2000	-0.017895631	0.057010002	-0.0012136456	-0.0011735028	1.7895672	5.5038447e-05	0.0	4.0	3.8573477268218994	539
2	0.25666142	0.29807177	0.9990484	0.0	3.9447005	46.11312	30.416578	99.0	0.0	0.22487351	0.30279708	0.9990484	-0.014347516	-0.00016692127	0.015989456	0.041789293	-0.05165822	3000	-0.017894778	0.07103877	-0.0012195241	-0.001371746	1.7894778	0.00018377353	0.0	4.0	6.18269944190979	433
3	0.23983133	0.29967692	0.9937347	-0.95994174	3.9	50.00905	28.729507	99.0	0.0	0.20559464	0.29965264	0.9937347	-0.95994174	0.006699771	0.01517243	0.053786196	-0.044045955	4000	-0.017894603	0.064558685	-0.0011135377	-0.001194533	1.7894571	-1.0498048e-05	0.0	4.0	8.301881074905396	475
4	0.24152543	0.28299156	0.9946778	-0.60355955	3.678414	48.467533	29.264395	99.0	0.0	0.2139333	0.28799495	0.9946778	-0.60355955	0.015292826	0.014476151	0.06133497	-0.03162255	5000	-0.017893484	0.06120301	-0.0009909319	-0.0011693118	1.7893493	-9.021751e-07	0.0	4.0	10.066385746002197	573
5	0.25039342	0.3168373	0.9879118	-2.000999	3.5844157	52.540424	28.806646	99.0	0.0	0.22213183	0.3288676	0.9879118	-2.000999	0.02273636	0.015983723	0.07643087	-0.028904974	6000	-0.017892338	0.07423365	-0.0008665561	-0.0011641039	1.7892365	-0.00013101529	0.0	4.0	11.81644082069397	576
6	0.2318024	0.29792115	0.9608471	-0.47011086	4.0511627	50.18433	28.272915	99.0	0.0	0.1925317	0.29191267	0.9608471	-0.47011086	0.0307791	0.015464415	0.07495327	-0.013013415	7000	-0.017891392	0.056017365	-0.0010670456	-0.0008951444	1.7891382	0.00019248725	0.0	4.0	13.592413187026978	568
7	0.2578594	0.31696895	0.95347464	-1.5797083	3.69163	52.308697	28.823835	99.0	0.0	0.22389005	0.32160255	0.95347464	-1.5797083	0.038998816	0.01566121	0.09445604	-0.010475434	8000	-0.017890196	0.06898513	-0.00095411483	-0.0010038847	1.7890201	-2.8787616e-05	0.0	4.0	15.342655897140503	577
8	0.23925543	0.29798028	0.9820264	-0.742416	3.903226	51.08597	28.303411	99.0	0.0	0.21077874	0.30268762	0.9820264	-0.742416	0.045871627	0.016196188	0.09510396	0.0031669661	9000	-0.017889317	0.059777603	-0.0010248208	-0.0008979086	1.7889328	4.1187293e-05	0.0	4.0	17.096060037612915	575
9	0.24759334	0.5645048	0.98450124	-6.9671783	3.6872246	48.83478	28.42899	98.0	1.0	0.19879211	0.6304432	0.98450124	-6.9671783	0.052007303	0.016999435	0.10579227	0.0059782416	10000	-0.01788782	0.21021533	-0.0005495772	-0.00073570665	1.7887831	-0.00014346409	0.0	4.0	18.873351335525513	567
