Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageAct	StdAct	MaxAct	MinAct	AverageRetBuf	StdRetBuf	MaxRetBuf	MinRetBuf	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	FPS
0	0.2943256	0.31624582	0.9995195	0.0	3.8363636	49.245537	29.510706	98.0	0.0	0.2591432	0.31729165	0.9995195	0.0	0.1111355	0.012654963	0.14532614	0.07554883	1000	-0.017895684	0.06126444	-0.0015028715	-0.00072001014	1.7895732	-9.976385e-06	0.0	4.0	2.036971092224121	490
1	0.149219	0.9486763	0.9958814	-11.174695	3.8190045	49.888393	28.923252	99.0	0.0	0.10704339	1.0275105	0.9958814	-11.174695	0.11761779	0.013053785	0.15768777	0.08353631	2000	-0.017895956	0.52851444	-0.00035027927	1.951307e-05	1.789596	-1.5925885e-05	0.0	4.0	3.9437880516052246	529
2	0.21943207	0.36939782	0.9825201	-3.1902974	3.7777777	49.44737	30.103794	99.0	0.0	0.1896373	0.3617149	0.9825201	-3.1902974	0.122172974	0.013397627	0.15962581	0.09082846	3000	-0.017895386	0.06780424	-0.00069077127	-0.000157787	1.7895379	-0.00011504698	0.0	4.0	6.360296726226807	416
3	0.23367868	0.28900343	0.9974232	-0.111465596	3.808889	50.67105	29.52878	99.0	0.0	0.18997371	0.2797706	0.9974232	-0.111465596	0.12446241	0.013223751	0.1650904	0.092919655	4000	-0.0178947	0.0414605	-0.0010651508	-0.0001714956	1.789471	2.1296977e-05	0.0	4.0	8.769103288650513	421
4	0.19828293	0.78358006	0.9579719	-10.772891	3.6872246	47.354977	28.52772	99.0	0.0	0.14780259	0.82152027	0.9579719	-10.772891	0.12836926	0.013502274	0.1672364	0.097088784	5000	-0.017893963	0.33823428	-0.00033582002	-4.9133785e-05	1.7893969	-0.00012222337	0.0	4.0	10.71534013748169	519
5	0.22528212	0.31849715	0.98556495	-1.3963726	4.0186915	48.614677	29.113321	99.0	0.0	0.18421094	0.3161318	0.98556495	-1.3963726	0.13155578	0.013866716	0.16904347	0.10133903	6000	-0.0178935	0.05157185	-0.0007903753	-0.00011475198	1.789351	0.00013293314	0.0	4.0	12.751463174819946	497
6	0.22288033	0.31420216	0.99543804	-2.072206	3.7972972	53.376106	28.941431	99.0	0.0	0.1995826	0.31384137	0.99543804	-2.072206	0.13404745	0.014075961	0.17598966	0.10214222	7000	-0.017892092	0.051580578	-0.0007703509	-0.00018592924	1.7892084	-5.345337e-07	0.0	4.0	14.69055438041687	520
7	0.2672307	0.3032233	0.98833776	-0.16553712	3.7212389	48.965218	29.648354	99.0	0.0	0.21838094	0.2980232	0.98833776	-0.16553712	0.13784362	0.01469821	0.17846644	0.09889789	8000	-0.017891016	0.048030682	-0.0011338568	-0.00027187355	1.7891018	-3.5153862e-05	0.0	4.0	16.601073741912842	528
8	0.2642928	0.33085695	0.9914975	-1.7778654	3.7589285	47.320175	28.734388	99.0	0.0	0.23507379	0.34481037	0.9914975	-1.7778654	0.14219628	0.014794849	0.17994075	0.11082354	9000	-0.017889505	0.06400073	-0.00089841057	-0.0003920896	1.7889509	-1.046991e-05	0.0	4.0	18.48505973815918	536
9	0.20507844	0.31595072	0.99474007	-2.1177697	3.838565	47.968887	29.363379	99.0	0.0	0.17072022	0.31819272	0.99474007	-2.1177697	0.148372	0.015371057	0.1949198	0.11429949	10000	-0.017888784	0.051131055	-0.0008098311	-6.2837265e-05	1.7888772	6.95386e-05	0.0	4.0	20.48126745223999	509
10	0.2537439	0.35024056	0.9794824	-2.072269	3.8325791	48.644444	29.478548	99.0	0.0	0.21820047	0.35685906	0.9794824	-2.072269	0.15298785	0.01608261	0.19849394	0.11784394	11000	-0.017887017	0.066220805	-0.0008221348	-0.0002050465	1.7886992	1.2083532e-05	0.0	4.0	22.497080087661743	500
11	0.2601128	0.32203403	0.9883631	-1.279924	3.837838	52.16814	28.983944	99.0	0.0	0.23132418	0.32018086	0.9883631	-1.279924	0.1569864	0.015973557	0.2071032	0.12383171	12000	-0.017885558	0.05423666	-0.00095731486	-0.0002715774	1.7885594	3.878212e-05	0.0	4.0	24.46778631210327	514
12	0.20789272	0.7353904	0.99216497	-9.831852	3.7802691	48.386665	28.859459	99.0	0.0	0.18924618	0.7027483	0.99216497	-9.831852	0.16146131	0.0168132	0.2056903	0.12856457	13000	-0.01788348	0.24731965	-0.00032232143	-9.9862926e-05	1.7883484	3.304243e-05	0.0	4.0	26.6852867603302	455
13	0.22848894	0.3678504	0.9624174	-3.3016043	3.6462882	52.706898	29.875896	99.0	0.0	0.1959557	0.39612952	0.9624174	-3.3016043	0.16585846	0.016937977	0.21169046	0.13175456	14000	-0.017882202	0.07948981	-0.00057950756	-7.272232e-05	1.7882214	1.7913817e-05	0.0	4.0	28.93905806541443	450
14	0.2890238	0.2948461	0.99628204	-0.6491712	3.5895197	51.918453	29.976345	99.0	0.0	0.2619652	0.30143493	0.99628204	-0.6491712	0.16993722	0.017751886	0.22059964	0.1354574	15000	-0.017881129	0.050203998	-0.00084670074	-0.00029930566	1.7881157	-0.00010200358	0.0	4.0	30.925655603408813	507
15	0.21802871	0.77954227	0.9988595	-9.23894	3.7589285	47.951756	28.8715	99.0	0.0	0.17278141	0.8300706	0.9988595	-9.23894	0.17460291	0.01783111	0.223867	0.140724	16000	-0.017878793	0.34532073	-0.00037144497	1.5059486e-05	1.7878804	-2.0722866e-05	0.0	4.0	33.19089221954346	445
16	0.24114165	0.2833744	0.9295207	0.0	3.6580086	47.764957	28.823963	99.0	0.0	0.20740665	0.28466502	0.9295207	0.0	0.17823239	0.01863341	0.23353235	0.14426981	17000	-0.017876765	0.041449208	-0.0009693224	-5.294569e-05	1.787678	2.9120925e-05	0.0	4.0	35.436418294906616	448
17	0.22641538	0.39453936	0.94672817	-2.6621501	3.6331878	50.801723	28.535887	99.0	0.0	0.1910597	0.41701165	0.94672817	-2.6621501	0.1808331	0.018310208	0.2285299	0.15056291	18000	-0.017874856	0.08761004	-0.000742543	-2.710335e-05	1.7874868	-2.3348326e-05	0.0	4.0	37.759854793548584	438
18	0.28557596	0.29768518	0.98507947	-0.0049099326	3.6157205	46.150864	29.028206	99.0	0.0	0.26646504	0.30912945	0.98507947	-0.0049099326	0.18235584	0.018669717	0.23189819	0.14829242	19000	-0.017872242	0.05167623	-0.00090073026	-0.00019752048	1.7872255	-7.169533e-05	0.0	4.0	39.822206020355225	489
19	0.28299654	0.2949793	0.9786597	0.0	3.6431718	52.96104	29.135202	99.0	0.0	0.25843212	0.3023175	0.9786597	0.0	0.18526913	0.019343294	0.23940733	0.15044427	20000	-0.017870747	0.04864485	-0.0009912122	-0.00026698783	1.7870691	-8.4025865e-05	0.0	4.0	41.994903564453125	467
20	0.283166	0.28881627	0.9763124	-0.18503165	3.4285715	46.52479	29.874832	99.0	0.0	0.2575433	0.29548547	0.9763124	-0.18503165	0.19050224	0.01984397	0.2519182	0.15605901	21000	-0.01786815	0.046226524	-0.0010309671	-0.0002670791	1.7868147	-0.00016978168	0.0	4.0	43.991918087005615	505
21	0.30095428	0.31513125	0.9842231	-0.6980501	3.6872246	50.06087	30.09096	99.0	0.0	0.26915	0.32548246	0.9842231	-0.6980501	0.19625758	0.020613888	0.24537666	0.1610311	22000	-0.017864462	0.056110796	-0.0012293886	-0.00031628367	1.7864492	-4.231596e-05	0.0	4.0	46.016194105148315	500
22	0.2353438	0.40626472	0.9982414	-3.231236	3.711111	51.82533	31.451982	99.0	0.0	0.20006444	0.42383054	0.9982414	-3.231236	0.20228344	0.021203438	0.2609229	0.16700907	23000	-0.017861404	0.090287596	-0.000766417	3.925059e-05	1.7861385	4.4549946e-05	0.0	4.0	47.979971408843994	514
23	0.15321347	1.1763587	0.9847352	-16.367199	3.8727272	53.035873	29.47886	99.0	0.0	0.1008043	1.3346494	0.9847352	-16.367199	0.20788138	0.02229212	0.26294482	0.17305078	24000	-0.017856382	0.8971852	-0.0003431961	-0.00021481235	1.7856383	0.00013007736	0.0	4.0	49.996795654296875	500
24	0.2537186	0.28282866	0.9768557	0.0	3.655022	51.887447	30.266285	99.0	0.0	0.22741517	0.28759593	0.9768557	0.0	0.20465085	0.02162471	0.26575196	0.16883484	25000	-0.017854672	0.041937377	-0.0009930674	1.4895573e-05	1.7854674	0.00015244246	0.0	4.0	51.92052173614502	524
25	0.2608521	0.31777614	0.99607146	-1.8997592	3.5364807	49.51271	30.013483	99.0	0.0	0.23457202	0.32826522	0.99607146	-1.8997592	0.20195083	0.020744849	0.2622478	0.16647013	26000	-0.017852359	0.05499921	-0.0009380621	-7.241033e-06	1.7852364	5.18527e-05	0.0	4.0	53.94637155532837	501
26	0.28953868	0.30382627	0.9961213	0.0	3.4915254	51.193275	29.674644	99.0	0.0	0.26739645	0.31333402	0.9961213	0.0	0.20252316	0.020783052	0.2621423	0.16583498	27000	-0.017848847	0.05172299	-0.0010940444	-8.4011815e-05	1.7848841	-8.086824e-05	0.0	4.0	56.24415063858032	438
27	0.20708515	0.6657713	0.97606236	-7.5798235	3.5757575	51.132477	29.38362	98.0	0.0	0.16991058	0.7181606	0.97606236	-7.5798235	0.20294537	0.020600595	0.2560403	0.1674481	28000	-0.017844062	0.2590863	-0.00040447153	4.9527735e-06	1.7844102	4.0675644e-05	0.0	4.0	58.62490200996399	423
28	0.2878037	0.30027255	0.9911051	0.0	3.5127118	48.4135	29.607239	99.0	0.0	0.2590609	0.30830073	0.9911051	0.0	0.20526892	0.021484286	0.26892278	0.17000982	29000	-0.017840907	0.049675778	-0.0010503135	-4.3437816e-05	1.7840896	-1.7472745e-05	0.0	4.0	60.848039388656616	454
29	0.24290635	0.5301979	0.99033517	-6.5782638	3.4166667	50.81893	28.324547	99.0	0.0	0.20005037	0.6033044	0.99033517	-6.5782638	0.20598288	0.021562219	0.26093152	0.17682058	30000	-0.017838264	0.182387	-0.00057561323	-2.4200417e-05	1.7838271	-6.305313e-05	0.0	4.0	62.84328842163086	505
30	0.22240199	0.7331628	0.97870183	-9.943513	3.4830508	50.1625	28.243044	98.0	1.0	0.19266002	0.7169709	0.97870183	-9.943513	0.20540328	0.020640846	0.26078933	0.17004646	31000	-0.017832309	0.25746325	-0.00040017627	-4.3734908e-05	1.7832296	3.863287e-05	0.0	4.0	64.73614835739136	533
31	0.1835919	0.753298	0.97781974	-8.927036	3.493617	50.05042	30.86249	99.0	0.0	0.1324891	0.837471	0.97781974	-8.927036	0.20467709	0.020271938	0.25972572	0.17456596	32000	-0.017829362	0.35380957	-0.00046880078	-0.0003079772	1.7829363	-5.4922588e-05	0.0	4.0	66.58883237838745	545
32	0.25477824	0.4218196	0.9699538	-4.4323244	3.497854	49.64135	29.04329	99.0	0.0	0.23825428	0.44933888	0.9699538	-4.4323244	0.20151758	0.019931564	0.26004604	0.16409811	33000	-0.017826553	0.10189595	-0.0005272813	4.8046e-05	1.7826545	-5.440044e-05	0.0	4.0	68.527188539505	521
33	0.27867743	0.30883056	0.99696827	-0.55057967	3.4810126	51.329166	29.303938	99.0	0.0	0.24570553	0.3121023	0.99696827	-0.55057967	0.19941738	0.019638449	0.25496277	0.16469671	34000	-0.017822176	0.049964737	-0.0011051744	-2.2938475e-05	1.7822193	7.908774e-05	0.0	4.0	70.65598821640015	481
