Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageAct	StdAct	MaxAct	MinAct	AverageRetBuf	StdRetBuf	MaxRetBuf	MinRetBuf	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	FPS
0	0.22903824	0.2848058	0.99258024	-0.382374	4.142857	49.164318	29.157919	98.0	0.0	0.19423446	0.28344238	0.99258024	-0.382374	0.11124347	0.0126607055	0.14955026	0.07554883	1000	-0.019108824	0.043576166	-0.0013878683	-0.0003827531	1.9108839	8.160925e-05	0.0	4.0	2.64518404006958	378
1	0.19643472	0.25518206	0.98363996	-0.06486423	4.0704226	51.09722	28.197466	99.0	0.0	0.16604792	0.25328523	0.98363996	-0.06486423	0.11768161	0.0129697425	0.15447585	0.08359711	2000	-0.019104358	0.033478424	-0.0010749139	-0.00018924521	1.9104348	1.4498237e-05	0.0	4.0	4.603456974029541	515
2	0.17762361	0.78557354	0.9828385	-10.558511	3.981567	49.645454	28.9019	99.0	0.0	0.13797322	0.8092201	0.9828385	-10.558511	0.12395829	0.013730704	0.16167718	0.08217551	3000	-0.019097257	0.32740676	-0.00038369	-3.423728e-05	1.9097247	-0.00010217239	0.0	4.0	6.861527681350708	447
3	0.20864414	0.27961695	0.9917809	-0.111465596	4.1220655	50.55349	29.574905	99.0	0.0	0.17131919	0.27164072	0.9917809	-0.111465596	0.1272653	0.013639463	0.16697498	0.095673084	4000	-0.019104498	0.038135946	-0.0009042397	-0.00011708634	1.9104507	1.6860968e-06	0.0	4.0	8.849364042282104	512
4	0.18672368	0.80076814	0.96520585	-10.772891	3.9583333	46.6	28.080147	98.0	0.0	0.14606035	0.8241554	0.96520585	-10.772891	0.131242	0.01375694	0.16849658	0.09907508	5000	-0.019096319	0.3403538	-0.00031465618	-4.845485e-05	1.909633	-0.000102979655	0.0	4.0	10.986662149429321	474
5	0.22308546	0.30056843	0.99052024	-0.108850956	4.181818	47.301888	28.723362	98.0	0.0	0.18207783	0.29138675	0.99052024	-0.108850956	0.13390027	0.014367027	0.1763649	0.1040469	6000	-0.019108143	0.043818474	-0.0009000413	-0.00012491178	1.9108158	6.3354964e-05	0.0	4.0	13.368891477584839	426
6	0.20893791	0.30963016	0.9951796	-1.6438911	4.0140843	53.262672	29.395918	99.0	0.0	0.18562077	0.29751822	0.9951796	-1.6438911	0.13659486	0.014281057	0.17834651	0.10443551	7000	-0.019099437	0.045693897	-0.0007637185	-0.00015652645	1.9099422	2.9895305e-05	0.0	4.0	15.460731506347656	486
7	0.23256803	0.2879642	0.98833776	0.0	3.9769585	47.918182	29.517061	99.0	0.0	0.18393072	0.2719238	0.98833776	0.0	0.14125492	0.014995047	0.18222518	0.10290098	8000	-0.019094324	0.038239013	-0.0010953404	-0.00013588509	1.9094323	3.1378746e-05	0.0	4.0	17.8506977558136	424
8	0.19816907	0.42911503	0.99783725	-4.231111	4.1132073	47.36574	29.439684	99.0	0.0	0.15544613	0.44752237	0.99783725	-4.231111	0.14564939	0.014966582	0.18758968	0.11500116	9000	-0.019098891	0.100700215	-0.0007326915	-3.7455e-05	1.909889	0.000108377935	0.0	4.0	20.11798095703125	445
9	0.08941073	1.3391296	0.95629936	-18.839947	4.023148	48.58257	29.707829	99.0	0.0	0.022732332	1.5094984	0.95629936	-18.839947	0.14926054	0.01519651	0.18776843	0.11470781	10000	-0.01909453	1.1475948	-0.00018595997	-0.000320849	1.9094524	2.6149273e-05	0.0	4.0	22.23815393447876	476
10	0.21572676	0.30315912	0.9890298	-0.9905383	4.0801888	48.185184	30.08711	99.0	0.0	0.18903385	0.29720634	0.9890298	-0.9905383	0.14711548	0.0151029	0.194359	0.11203122	11000	-0.01909649	0.045337744	-0.000691392	7.717917e-05	1.9096495	1.5723701e-05	0.0	4.0	24.318728923797607	484
