Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageAct	StdAct	MaxAct	MinAct	AverageRetBuf	StdRetBuf	MaxRetBuf	MinRetBuf	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	FPS
0	0.81464285	0.9267104	2.9825828	0.0	3.8534484	22.450644	13.736903	47.0	0.0	0.6488565	0.89443296	2.9825828	0.0	0.06505866	0.013171896	0.1070413	0.01719895	1000	-0.019068502	0.5698715	-0.0013934188	-0.0031761527	1.906844	0.0001385107	0.0	4.0	20.86553454399109	47
1	0.86096597	0.91958654	2.994145	0.0	3.6514523	23.008265	13.557039	47.0	0.0	0.65899354	0.8766658	2.994145	0.0	0.07105431	0.012682334	0.11867833	0.027355194	2000	-0.01905398	0.5567516	-0.0013536029	-0.0030953884	1.9054012	8.098268e-05	0.0	4.0	42.32650589942932	46
2	0.89658225	0.9125492	2.5558193	0.0	3.7046413	24.264706	13.438989	47.0	0.0	0.7245879	0.89366925	2.5558193	0.0	0.07862195	0.012490827	0.11920962	0.03853578	3000	-0.019059215	0.6081023	-0.001272615	-0.003526628	1.9059185	2.5499821e-05	0.0	4.0	63.85437083244324	46
3	0.9296476	0.9194391	2.8924341	0.0	3.6182573	22.545454	13.429953	47.0	0.0	0.74219114	0.9021402	2.8924341	0.0	0.086397916	0.013023607	0.13710877	0.04926934	4000	-0.019052446	0.6224361	-0.0012610499	-0.003591001	1.9052399	-1.358366e-05	0.0	4.0	86.65673112869263	43
4	0.86891055	0.92729217	2.93354	0.0	3.6528926	23.433884	12.99069	47.0	0.0	0.67075837	0.8949282	2.93354	0.0	0.09508029	0.012769147	0.13942894	0.05525297	5000	-0.019051438	0.5674517	-0.0012973994	-0.0030730963	1.9051391	9.6875665e-05	0.0	4.0	108.97319340705872	44
5	0.9716295	0.9281326	2.8238823	0.0	3.5596707	23.782787	13.993776	47.0	0.0	0.79233986	0.92398036	2.8238823	0.0	0.10045604	0.013343593	0.14750576	0.054771602	6000	-0.019047085	0.66722894	-0.0012123659	-0.0037522912	1.9047154	-7.181215e-05	0.0	4.0	130.6718602180481	46
6	0.90064335	0.91411966	2.6308317	0.0	3.623967	24.946281	13.344809	47.0	0.0	0.71782845	0.895295	2.6308317	0.0	0.108266816	0.013873224	0.16045097	0.06975517	7000	-0.019049352	0.58762246	-0.0012563262	-0.0032818317	1.9049344	-7.400513e-07	0.0	4.0	152.82176995277405	45
7	0.9797985	0.94431585	2.9725192	0.0	3.5785124	24.09465	13.773719	47.0	0.0	0.793191	0.9330175	2.9725192	0.0	0.11506911	0.014312639	0.16892737	0.070324495	8000	-0.019046547	0.6665426	-0.0013283752	-0.0037275553	1.9046562	-3.7701608e-05	0.0	4.0	175.7118911743164	43
8	0.86510295	0.908767	2.6634762	0.0	3.5942624	24.689796	14.591922	47.0	0.0	0.66324216	0.8730636	2.6634762	0.0	0.12308956	0.016004782	0.18503292	0.083342955	9000	-0.019041868	0.52980626	-0.001358293	-0.0028098822	1.9041895	6.185198e-05	0.0	4.0	196.0633897781372	49
9	0.88973594	0.8923134	2.722919	0.0	3.5925925	23.40164	14.244735	47.0	0.0	0.7029061	0.86805993	2.722919	0.0	0.12956624	0.016662493	0.19276373	0.08997838	10000	-0.019042326	0.5433542	-0.0013521686	-0.0029752254	1.904233	5.3181648e-06	0.0	4.0	217.1100673675537	47
10	0.92570955	0.91168404	2.8907125	0.0	3.522267	23.282259	13.417046	47.0	0.0	0.7203202	0.8898453	2.8907125	0.0	0.13650315	0.01827071	0.19401553	0.091404796	11000	-0.019034438	0.5697511	-0.0014406946	-0.0029671192	1.9034493	-5.8984756e-07	0.0	4.0	238.13045239448547	47
