Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageAct	StdAct	MaxAct	MinAct	AverageRetBuf	StdRetBuf	MaxRetBuf	MinRetBuf	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	FPS
0	0.053497385	2.8017728	0.9351156	-33.01627	3.9585254	47.063637	29.021866	99.0	0.0	0.11286046	2.0026026	0.9351156	-33.01627	-0.13672586	0.014700049	-0.08895646	-0.18221426	1000	-0.019410715	2.0349493	-0.0005799215	-0.001614064	1.9410725	-7.4144365e-05	0.0	4.0	2.5109403133392334	398
1	0.2866846	1.2848029	0.9348927	-15.598198	4.143541	45.798122	27.30787	99.0	0.0	0.2523992	0.9124915	0.9348927	-15.598198	-0.1303115	0.01373396	-0.08349225	-0.1763343	2000	-0.01941074	0.4887525	-0.0005224515	-0.0021960624	1.9410715	-6.4353917e-06	0.0	4.0	4.894289255142212	422
2	0.30113187	1.1996738	0.93642175	-12.424504	3.9587157	50.114155	29.64371	99.0	0.0	0.24261425	1.0940822	0.93642175	-12.424504	-0.12294118	0.014411922	-0.079201475	-0.16623223	3000	-0.019410532	0.6632371	-0.00055361725	-0.0021024458	1.9410536	-3.0483247e-05	0.0	4.0	7.273272514343262	423
3	0.26487353	1.2837005	0.93425316	-11.120152	4.1226416	52.157406	25.94141	98.0	1.0	0.19620363	1.1393504	0.93425316	-11.120152	-0.11496776	0.013282905	-0.06507082	-0.15637442	4000	-0.019410387	0.6975244	-0.00045033684	-0.001742728	1.9410403	-3.4036635e-05	0.0	4.0	9.627548933029175	427
4	-0.15478453	5.6293564	0.9437023	-78.31817	3.8812785	50.721973	29.007713	99.0	0.0	-0.22562002	5.731215	0.9437023	-78.31817	-0.10864668	0.0134726195	-0.06387977	-0.15067346	5000	-0.019409455	16.42515	-0.00031804293	-8.317083e-05	1.9409447	-4.4341086e-05	0.0	4.0	12.452203035354614	356
5	0.40529507	0.885466	0.93586415	-9.883665	3.794643	47.899124	29.52806	98.0	0.0	0.29588014	0.87644374	0.93586415	-9.883665	-0.104696475	0.01304607	-0.057721537	-0.15009223	6000	-0.019409213	0.4640243	-0.0004980704	-0.0012377948	1.9409201	-5.2453986e-05	0.0	4.0	15.893518447875977	292
6	0.22733259	1.1497264	0.9391567	-8.947598	4.251208	49.717705	28.714928	99.0	0.0	0.21795015	0.9134485	0.9391567	-8.947598	-0.09899096	0.014698051	-0.0496351	-0.1454522	7000	-0.019408785	0.46653545	-0.0005246941	-0.0014105663	1.9408774	-3.3411998e-06	0.0	4.0	19.14026117324829	311
7	0.22187729	1.3294622	0.93983865	-11.94648	4.088785	48.585255	28.222672	99.0	0.0	0.1667828	1.2088172	0.93983865	-11.94648	-0.09428749	0.01433428	-0.049626004	-0.13275428	8000	-0.019409329	0.76389265	-0.0004297071	-0.0012046099	1.9409323	3.222942e-05	0.0	4.0	21.562914609909058	415
8	0.36371157	0.84822863	0.93535256	-6.431578	3.8995433	49.17937	27.88677	99.0	0.0	0.26839247	0.81664133	0.93535256	-6.431578	-0.088200375	0.015174651	-0.038135856	-0.13085353	9000	-0.019408755	0.39580545	-0.0006942963	-0.0016729236	1.9408722	-5.052757e-05	0.0	4.0	25.001217126846313	292
9	0.36578375	0.8091706	0.9341123	-9.030477	4.1267605	50.6	28.795317	99.0	0.0	0.28663403	0.6184542	0.9341123	-9.030477	-0.08233138	0.01553906	-0.035129577	-0.12823415	10000	-0.019408062	0.25903413	-0.0007869983	-0.001865074	1.9408126	1.5175341e-05	0.0	4.0	28.10345220565796	327
