Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageAct	StdAct	MaxAct	MinAct	AverageRetBuf	StdRetBuf	MaxRetBuf	MinRetBuf	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	FPS
0	0.4545336	0.32787898	0.80084765	0.0	3.69869	24.604347	14.097641	47.0	0.0	0.3682489	0.34573862	0.80084765	-0.067521356	-0.056248464	0.012268523	-0.0150209535	-0.09487566	1000	-0.017886765	0.15026796	-0.001867285	-0.0021669418	1.7886746	-4.0374278e-05	0.0	4.0	26.203447103500366	38
1	0.47624916	0.32196242	0.78893816	0.0	3.652174	21.199135	13.978778	47.0	0.0	0.3961862	0.34514952	0.78893816	-0.061017677	-0.04967292	0.012866566	-0.010609627	-0.08850559	2000	-0.01788616	0.15914689	-0.001598198	-0.0022935718	1.7886128	-7.18112e-05	0.0	4.0	51.048099994659424	40
2	0.4142444	0.33792582	0.77368414	0.0	3.9318182	25.081448	13.684971	47.0	0.0	0.3255682	0.34429565	0.77368414	-0.046181582	-0.043127228	0.013310025	0.00812708	-0.07874526	3000	-0.017885065	0.12749584	-0.0014921892	-0.0018414408	1.7885073	0.00010690975	0.0	4.0	72.86845636367798	45
3	0.44688475	0.33662173	0.79527134	0.0	3.7117903	23.186956	14.269603	47.0	0.0	0.35119694	0.35007766	0.79527134	-0.03089105	-0.03664864	0.013673624	0.020092838	-0.069763005	4000	-0.017884383	0.1374072	-0.0014573559	-0.0018862486	1.7884438	-4.9652575e-05	0.0	4.0	94.82983756065369	45
4	0.45039052	0.32654077	0.7857491	0.0	3.8423424	24.35135	14.210546	47.0	0.0	0.3731466	0.34159598	0.7857491	0.0	-0.030051919	0.014924716	0.02186565	-0.064105615	5000	-0.017883312	0.14036597	-0.0014080759	-0.002005577	1.7883266	6.898737e-05	0.0	4.0	117.31914496421814	44
5	0.45126143	0.32790717	0.77487695	0.0	3.8772728	23.321266	14.658432	47.0	0.0	0.37539384	0.34386915	0.77487695	0.0	-0.02345205	0.015668282	0.03869711	-0.060607478	6000	-0.017882323	0.13912886	-0.001416102	-0.002034083	1.7882359	-4.1947842e-05	0.0	4.0	140.92874479293823	42
6	0.4397138	0.33527	0.8306554	0.0	3.8733032	22.306307	14.337183	46.0	0.0	0.35693684	0.34849644	0.8306554	-0.010393636	-0.017609894	0.016842028	0.04143241	-0.054359723	7000	-0.017881067	0.13187343	-0.0013790578	-0.0018839836	1.7881038	4.7335147e-05	0.0	4.0	165.40317344665527	40
7	0.45514488	0.3311476	0.7782712	0.0	3.6709957	23.645021	14.171323	47.0	0.0	0.3651301	0.34893072	0.7782712	0.0	-0.01019203	0.017390236	0.043844596	-0.04807024	8000	-0.017880041	0.13262261	-0.001466848	-0.0018379241	1.7880051	-4.728508e-05	0.0	4.0	187.17981934547424	46
8	0.44784907	0.332329	0.77508247	0.0	3.7236843	23.991266	14.031466	47.0	0.0	0.35643065	0.34688354	0.77508247	0.0	-0.003812955	0.01912632	0.06117096	-0.04119897	9000	-0.017878331	0.12650864	-0.0015601236	-0.0017352775	1.7878269	0.00010979319	0.0	4.0	209.78113079071045	44
9	0.46020532	0.32905737	0.80235237	0.0	3.768889	23.756638	13.632278	47.0	0.0	0.37749508	0.34611458	0.80235237	-0.009303108	0.0025380417	0.01920851	0.068605684	-0.03564243	10000	-0.017876746	0.13144125	-0.0015881956	-0.0018461794	1.7876735	1.9498824e-05	0.0	4.0	231.52323937416077	46
